Country,Happiness_Rank,Happiness_Score,Standard Error,GDP_per_Capita,Social_support,Healthy_Life_Expectancy,Freedom,Trust,Generosity,Dystopia_Residual
Switzerland,1,7.59,0.03,1.40,1.35,0.94,0.67,0.42,0.30,2.52
Iceland,2,7.56,0.05,1.30,1.40,0.95,0.63,0.14,0.44,2.70
Denmark,3,7.53,0.03,1.33,1.36,0.87,0.65,0.48,0.34,2.49
Norway,4,7.52,0.04,1.46,1.33,0.89,0.67,0.37,0.35,2.47
Canada,5,7.43,0.04,1.33,1.32,0.91,0.63,0.33,0.46,2.45
Finland,6,7.41,0.03,1.29,1.32,0.89,0.64,0.41,0.23,2.62
Netherlands,7,7.38,0.03,1.33,1.28,0.89,0.62,0.32,0.48,2.47
Sweden,8,7.36,0.03,1.33,1.29,0.91,0.66,0.44,0.36,2.37
New Zealand,9,7.29,0.03,1.25,1.32,0.91,0.64,0.43,0.48,2.26
Australia,10,7.28,0.04,1.33,1.31,0.93,0.65,0.36,0.44,2.27
Israel,11,7.28,0.03,1.23,1.22,0.91,0.41,0.08,0.33,3.09
Costa Rica,12,7.23,0.04,0.96,1.24,0.86,0.63,0.11,0.25,3.18
Austria,13,7.20,0.04,1.34,1.30,0.89,0.62,0.19,0.33,2.53
Mexico,14,7.19,0.04,1.02,0.91,0.81,0.48,0.21,0.14,3.60
United States,15,7.12,0.04,1.39,1.25,0.86,0.55,0.16,0.40,2.51
Brazil,16,6.98,0.04,0.98,1.23,0.70,0.49,0.18,0.15,3.26
Luxembourg,17,6.95,0.03,1.56,1.22,0.92,0.62,0.38,0.28,1.97
Ireland,18,6.94,0.04,1.34,1.37,0.90,0.62,0.29,0.46,1.98
Belgium,19,6.94,0.04,1.31,1.29,0.90,0.58,0.23,0.22,2.41
United Arab Emirates,20,6.90,0.04,1.43,1.13,0.81,0.64,0.39,0.26,2.25
United Kingdom,21,6.87,0.02,1.27,1.29,0.91,0.60,0.32,0.52,1.97
Oman,22,6.85,0.05,1.36,1.08,0.76,0.63,0.33,0.22,2.47
Venezuela,23,6.81,0.06,1.04,1.26,0.72,0.43,0.11,0.06,3.19
Singapore,24,6.80,0.04,1.52,1.02,1.03,0.54,0.49,0.31,1.89
Panama,25,6.79,0.05,1.06,1.20,0.80,0.54,0.09,0.24,2.85
Germany,26,6.75,0.02,1.33,1.30,0.89,0.61,0.22,0.28,2.12
Chile,27,6.67,0.06,1.11,1.12,0.86,0.44,0.13,0.33,2.68
Qatar,28,6.61,0.06,1.69,1.08,0.80,0.64,0.52,0.33,1.56
France,29,6.58,0.04,1.28,1.26,0.95,0.55,0.21,0.12,2.21
Argentina,30,6.57,0.05,1.05,1.25,0.79,0.45,0.08,0.11,2.84
Czech Republic,31,6.51,0.04,1.18,1.21,0.84,0.46,0.03,0.11,2.68
Uruguay,32,6.49,0.05,1.06,1.21,0.81,0.60,0.25,0.23,2.32
Colombia,33,6.48,0.05,0.92,1.24,0.69,0.53,0.05,0.18,2.86
Thailand,34,6.46,0.04,0.97,1.27,0.74,0.56,0.03,0.58,2.32
Saudi Arabia,35,6.41,0.05,1.40,1.08,0.72,0.31,0.33,0.14,2.44
Spain,36,6.33,0.03,1.23,1.31,0.96,0.46,0.06,0.18,2.12
Malta,37,6.30,0.04,1.21,1.30,0.89,0.60,0.14,0.52,1.65
Taiwan,38,6.30,0.04,1.29,1.08,0.88,0.40,0.08,0.25,2.32
Kuwait,39,6.30,0.04,1.55,1.17,0.72,0.55,0.26,0.16,1.88
Suriname,40,6.27,0.10,1.00,0.97,0.61,0.60,0.14,0.17,2.79
Trinidad and Tobago,41,6.17,0.11,1.21,1.18,0.61,0.56,0.01,0.32,2.27
El Salvador,42,6.13,0.06,0.76,1.03,0.68,0.40,0.12,0.11,3.04
Guatemala,43,6.12,0.05,0.75,1.04,0.64,0.58,0.09,0.27,2.74
Uzbekistan,44,6.00,0.04,0.63,1.34,0.60,0.66,0.31,0.23,2.24
Slovakia,45,6.00,0.04,1.17,1.27,0.79,0.32,0.03,0.17,2.25
Japan,46,5.99,0.04,1.27,1.26,0.99,0.50,0.18,0.11,1.68
South Korea,47,5.98,0.04,1.24,0.96,0.97,0.33,0.08,0.19,2.22
Ecuador,48,5.98,0.05,0.86,1.00,0.79,0.49,0.18,0.12,2.54
Bahrain,49,5.96,0.05,1.32,1.22,0.75,0.45,0.31,0.17,1.74
Italy,50,5.95,0.04,1.25,1.20,0.95,0.26,0.03,0.23,2.03
Bolivia,51,5.89,0.06,0.68,0.98,0.54,0.57,0.09,0.21,2.82
Moldova,52,5.89,0.04,0.59,1.02,0.62,0.33,0.02,0.21,3.11
Paraguay,53,5.88,0.05,0.76,1.30,0.66,0.54,0.08,0.34,2.19
Kazakhstan,54,5.86,0.04,1.12,1.12,0.64,0.52,0.08,0.12,2.25
Slovenia,55,5.85,0.04,1.18,1.27,0.87,0.61,0.04,0.25,1.62
Lithuania,56,5.83,0.04,1.15,1.26,0.73,0.21,0.01,0.03,2.45
Nicaragua,57,5.83,0.05,0.59,1.14,0.74,0.55,0.19,0.28,2.32
Peru,58,5.82,0.05,0.90,0.97,0.73,0.41,0.06,0.15,2.59
Belarus,59,5.81,0.04,1.03,1.23,0.74,0.38,0.19,0.11,2.13
Poland,60,5.79,0.04,1.13,1.28,0.78,0.53,0.04,0.17,1.87
Malaysia,61,5.77,0.04,1.12,1.07,0.72,0.53,0.11,0.33,1.89
Croatia,62,5.76,0.04,1.08,0.80,0.79,0.26,0.02,0.05,2.75
Libya,63,5.75,0.08,1.13,1.12,0.70,0.42,0.11,0.18,2.09
Russia,64,5.72,0.03,1.14,1.24,0.67,0.37,0.03,0.00,2.27
Jamaica,65,5.71,0.14,0.81,1.15,0.69,0.50,0.02,0.21,2.32
North Cyprus,66,5.70,0.06,1.21,1.07,0.92,0.49,0.14,0.26,1.60
Cyprus,67,5.69,0.06,1.21,0.89,0.92,0.41,0.06,0.31,1.89
Algeria,68,5.61,0.05,0.94,1.08,0.62,0.29,0.17,0.08,2.43
Kosovo,69,5.59,0.05,0.80,0.81,0.63,0.25,0.05,0.28,2.77
Turkmenistan,70,5.55,0.04,0.96,1.23,0.54,0.48,0.31,0.17,1.87
Mauritius,71,5.48,0.07,1.01,0.99,0.71,0.56,0.08,0.38,1.76
Hong Kong,72,5.47,0.05,1.39,1.06,1.01,0.60,0.37,0.39,0.65
Estonia,73,5.43,0.04,1.15,1.23,0.77,0.45,0.15,0.09,1.59
Indonesia,74,5.40,0.03,0.83,1.09,0.64,0.47,0.00,0.52,1.86
Vietnam,75,5.36,0.03,0.63,0.91,0.75,0.59,0.10,0.17,2.20
Turkey,76,5.33,0.04,1.06,0.95,0.73,0.23,0.16,0.12,2.09
Kyrgyzstan,77,5.29,0.04,0.47,1.15,0.65,0.43,0.04,0.30,2.23
Nigeria,78,5.27,0.04,0.65,0.90,0.16,0.34,0.04,0.27,2.89
Bhutan,79,5.25,0.03,0.77,1.10,0.57,0.53,0.15,0.48,1.64
Azerbaijan,80,5.21,0.03,1.02,0.94,0.64,0.37,0.16,0.08,2.00
Pakistan,81,5.19,0.04,0.60,0.41,0.51,0.12,0.10,0.34,3.11
Jordan,82,5.19,0.05,0.90,1.05,0.70,0.41,0.14,0.11,1.88
Montenegro,82,5.19,0.05,0.97,0.91,0.73,0.18,0.14,0.16,2.10
China,84,5.14,0.02,0.89,0.95,0.82,0.52,0.03,0.08,1.86
Zambia,85,5.13,0.07,0.47,0.92,0.30,0.49,0.12,0.20,2.63
Romania,86,5.12,0.07,1.04,0.89,0.77,0.35,0.01,0.14,1.93
Serbia,87,5.12,0.05,0.92,1.01,0.75,0.20,0.03,0.19,2.03
Portugal,88,5.10,0.05,1.16,1.14,0.88,0.51,0.01,0.14,1.26
Latvia,89,5.10,0.05,1.11,1.10,0.72,0.30,0.06,0.18,1.62
Philippines,90,5.07,0.05,0.71,1.04,0.58,0.63,0.12,0.25,1.75
Somaliland,91,5.06,0.06,0.19,0.95,0.44,0.47,0.40,0.50,2.11
Morocco,92,5.01,0.03,0.73,0.64,0.61,0.42,0.09,0.07,2.45
Macedonia,93,5.01,0.05,0.92,1.00,0.74,0.33,0.05,0.22,1.74
Mozambique,94,4.97,0.08,0.08,1.03,0.09,0.34,0.16,0.22,3.05
Albania,95,4.96,0.05,0.88,0.80,0.81,0.36,0.06,0.14,1.90
Bosnia and Herzegovina,96,4.95,0.07,0.83,0.92,0.79,0.09,0.00,0.25,2.06
Lesotho,97,4.90,0.09,0.38,1.04,0.08,0.32,0.13,0.16,2.80
Dominican Republic,98,4.89,0.07,0.90,1.17,0.67,0.58,0.14,0.22,1.21
Laos,99,4.88,0.07,0.59,0.74,0.55,0.60,0.24,0.42,1.74
Mongolia,100,4.87,0.03,0.83,1.30,0.60,0.44,0.03,0.33,1.35
Swaziland,101,4.87,0.09,0.71,1.07,0.08,0.31,0.03,0.18,2.49
Greece,102,4.86,0.05,1.15,0.93,0.88,0.08,0.01,0.00,1.80
Lebanon,103,4.84,0.04,1.03,0.80,0.84,0.34,0.05,0.22,1.57
Hungary,104,4.80,0.06,1.12,1.20,0.76,0.32,0.03,0.13,1.24
Honduras,105,4.79,0.06,0.60,0.95,0.70,0.40,0.07,0.23,1.84
Tajikistan,106,4.79,0.03,0.39,0.86,0.57,0.47,0.15,0.23,2.11
Tunisia,107,4.74,0.04,0.88,0.60,0.74,0.26,0.06,0.06,2.12
Palestinian Territories,108,4.72,0.04,0.60,0.93,0.66,0.24,0.13,0.11,2.04
