Country,Happiness_Rank,Happiness_Score,Lower Confidence Interval,Upper Confidence Interval,GDP_per_Capita,Social_support,Healthy_Life_Expectancy,Freedom,Trust,Generosity,Dystopia_Residual
Denmark,1,7.53,7.46,7.59,1.44,1.16,0.80,0.58,0.44,0.36,2.74
Switzerland,2,7.51,7.43,7.59,1.53,1.15,0.86,0.59,0.41,0.28,2.69
Iceland,3,7.50,7.33,7.67,1.43,1.18,0.87,0.57,0.15,0.48,2.83
Norway,4,7.50,7.42,7.58,1.58,1.13,0.80,0.60,0.36,0.38,2.66
Finland,5,7.41,7.35,7.48,1.41,1.13,0.81,0.57,0.41,0.25,2.83
Canada,6,7.40,7.34,7.47,1.44,1.10,0.83,0.57,0.31,0.45,2.70
Netherlands,7,7.34,7.28,7.39,1.46,1.03,0.81,0.55,0.30,0.47,2.71
New Zealand,8,7.33,7.26,7.40,1.36,1.17,0.83,0.58,0.42,0.49,2.48
Australia,9,7.31,7.24,7.39,1.44,1.10,0.85,0.57,0.32,0.47,2.55
Sweden,10,7.29,7.23,7.36,1.45,1.09,0.83,0.58,0.41,0.38,2.55
Israel,11,7.27,7.20,7.34,1.34,1.00,0.85,0.36,0.09,0.32,3.31
Austria,12,7.12,7.05,7.19,1.45,1.08,0.81,0.54,0.21,0.33,2.69
United States,13,7.10,7.02,7.19,1.51,1.05,0.78,0.48,0.15,0.41,2.73
Costa Rica,14,7.09,7.00,7.18,1.07,1.02,0.76,0.55,0.11,0.23,3.35
Puerto Rico,15,7.04,6.79,7.28,1.36,1.08,0.78,0.47,0.12,0.22,3.01
Germany,16,6.99,6.93,7.06,1.45,1.10,0.81,0.53,0.29,0.30,2.51
Brazil,17,6.95,6.88,7.03,1.09,1.04,0.61,0.40,0.14,0.16,3.51
Belgium,18,6.93,6.86,7.00,1.43,1.05,0.82,0.51,0.26,0.24,2.61
Ireland,19,6.91,6.84,6.98,1.48,1.16,0.81,0.54,0.30,0.45,2.16
Luxembourg,20,6.87,6.80,6.94,1.70,1.04,0.85,0.55,0.35,0.28,2.11
Mexico,21,6.78,6.68,6.88,1.12,0.71,0.71,0.38,0.18,0.12,3.56
Singapore,22,6.74,6.67,6.80,1.65,0.87,0.95,0.49,0.47,0.33,1.99
United Kingdom,23,6.73,6.65,6.80,1.40,1.09,0.81,0.50,0.27,0.50,2.15
Chile,24,6.71,6.62,6.80,1.22,0.91,0.82,0.38,0.11,0.32,2.96
Panama,25,6.70,6.60,6.80,1.18,0.99,0.71,0.49,0.08,0.24,3.01
Argentina,26,6.65,6.56,6.74,1.15,1.07,0.70,0.42,0.07,0.11,3.13
Czech Republic,27,6.60,6.52,6.68,1.31,1.01,0.76,0.41,0.04,0.10,2.96
United Arab Emirates,28,6.57,6.49,6.65,1.57,0.87,0.73,0.56,0.36,0.27,2.22
Uruguay,29,6.55,6.46,6.63,1.18,1.03,0.72,0.54,0.21,0.18,2.67
Malta,30,6.49,6.41,6.57,1.31,1.10,0.80,0.55,0.18,0.56,1.99
Colombia,31,6.48,6.38,6.58,1.03,1.02,0.60,0.45,0.05,0.16,3.17
France,32,6.48,6.40,6.56,1.39,1.01,0.84,0.47,0.18,0.12,2.47
Thailand,33,6.47,6.40,6.55,1.09,1.04,0.65,0.50,0.03,0.59,2.58
Saudi Arabia,34,6.38,6.29,6.47,1.49,0.85,0.59,0.38,0.30,0.15,2.61
Taiwan,34,6.38,6.31,6.45,1.40,0.93,0.80,0.32,0.07,0.25,2.62
Qatar,36,6.38,6.18,6.57,1.82,0.88,0.72,0.57,0.48,0.32,1.58
Spain,37,6.36,6.29,6.43,1.34,1.13,0.88,0.38,0.06,0.18,2.40
Algeria,38,6.36,6.23,6.48,1.05,0.83,0.62,0.21,0.16,0.07,3.41
Guatemala,39,6.32,6.21,6.44,0.83,0.87,0.54,0.50,0.09,0.29,3.20
Suriname,40,6.27,6.07,6.47,1.10,0.78,0.51,0.52,0.13,0.17,3.07
Kuwait,41,6.24,6.15,6.32,1.62,0.88,0.64,0.43,0.24,0.16,2.28
Bahrain,42,6.22,6.13,6.31,1.44,0.94,0.66,0.47,0.26,0.17,2.27
Trinidad and Tobago,43,6.17,5.95,6.39,1.33,0.99,0.53,0.48,0.01,0.32,2.51
Venezuela,44,6.08,5.97,6.20,1.13,1.03,0.62,0.20,0.08,0.04,2.97
Slovakia,45,6.08,6.00,6.16,1.28,1.08,0.70,0.23,0.03,0.14,2.61
El Salvador,46,6.07,5.97,6.17,0.87,0.81,0.60,0.37,0.11,0.09,3.22
Malaysia,47,6.01,5.92,6.09,1.25,0.88,0.62,0.39,0.09,0.41,2.35
Nicaragua,48,5.99,5.88,6.11,0.69,0.90,0.65,0.47,0.16,0.30,2.82
Uzbekistan,49,5.99,5.90,6.08,0.74,1.17,0.50,0.61,0.28,0.34,2.35
Italy,50,5.98,5.90,6.06,1.35,1.04,0.85,0.19,0.03,0.17,2.35
Ecuador,51,5.98,5.88,6.07,0.97,0.86,0.69,0.40,0.18,0.10,2.77
Belize,52,5.96,5.71,6.20,0.88,0.69,0.46,0.51,0.11,0.24,3.08
Japan,53,5.92,5.85,5.99,1.38,1.06,0.91,0.47,0.19,0.10,1.81
Kazakhstan,54,5.92,5.84,6.00,1.23,0.96,0.57,0.41,0.11,0.15,2.49
Moldova,55,5.90,5.82,5.97,0.69,0.83,0.52,0.25,0.02,0.20,3.38
Russia,56,5.86,5.79,5.92,1.23,1.05,0.59,0.33,0.04,0.03,2.59
Poland,57,5.84,5.75,5.92,1.25,1.05,0.69,0.45,0.06,0.14,2.20
South Korea,57,5.84,5.75,5.92,1.36,0.72,0.89,0.25,0.08,0.19,2.35
Bolivia,59,5.82,5.74,5.90,0.79,0.84,0.47,0.51,0.08,0.22,2.92
Lithuania,60,5.81,5.73,5.89,1.27,1.06,0.65,0.19,0.02,0.02,2.61
Belarus,61,5.80,5.72,5.88,1.13,1.05,0.63,0.29,0.17,0.14,2.39
North Cyprus,62,5.77,5.67,5.87,1.31,0.82,0.84,0.44,0.17,0.26,1.93
Slovenia,63,5.77,5.68,5.85,1.30,1.06,0.79,0.53,0.04,0.26,1.80
Peru,64,5.74,5.65,5.84,1.00,0.81,0.63,0.38,0.05,0.15,2.73
Turkmenistan,65,5.66,5.58,5.74,1.08,1.04,0.44,0.37,0.28,0.23,2.21
Mauritius,66,5.65,5.51,5.79,1.14,0.76,0.66,0.46,0.05,0.37,2.20
Libya,67,5.62,5.41,5.82,1.07,0.95,0.52,0.41,0.10,0.17,2.39
Latvia,68,5.56,5.49,5.63,1.22,0.95,0.64,0.28,0.09,0.17,2.21
Cyprus,69,5.55,5.44,5.65,1.32,0.71,0.85,0.30,0.05,0.28,2.04
Paraguay,70,5.54,5.45,5.62,0.89,1.11,0.58,0.46,0.07,0.25,2.16
Romania,71,5.53,5.43,5.63,1.17,0.73,0.68,0.37,0.01,0.13,2.45
Estonia,72,5.52,5.44,5.60,1.28,1.05,0.68,0.42,0.19,0.08,1.82
Jamaica,73,5.51,5.32,5.71,0.89,0.96,0.59,0.44,0.04,0.22,2.36
Croatia,74,5.49,5.40,5.57,1.19,0.61,0.71,0.24,0.04,0.18,2.52
Hong Kong,75,5.46,5.36,5.55,1.51,0.87,0.95,0.48,0.32,0.40,0.93
Somalia,76,5.44,5.32,5.56,0.00,0.34,0.11,0.57,0.31,0.27,3.84
Kosovo,77,5.40,5.31,5.49,0.90,0.66,0.54,0.14,0.07,0.28,2.81
Turkey,78,5.39,5.30,5.48,1.16,0.88,0.65,0.24,0.12,0.05,2.29
Indonesia,79,5.31,5.24,5.39,0.95,0.88,0.49,0.39,0.00,0.57,2.03
Jordan,80,5.30,5.19,5.42,1.00,0.86,0.61,0.36,0.13,0.14,2.20
Azerbaijan,81,5.29,5.23,5.36,1.12,0.76,0.55,0.35,0.18,0.06,2.27
Philippines,82,5.28,5.16,5.40,0.81,0.88,0.47,0.55,0.12,0.22,2.23
China,83,5.25,5.20,5.29,1.03,0.79,0.74,0.44,0.03,0.05,2.17
Bhutan,84,5.20,5.14,5.25,0.85,0.91,0.50,0.46,0.16,0.49,1.83
Kyrgyzstan,85,5.19,5.10,5.27,0.56,0.95,0.55,0.40,0.05,0.38,2.28
Serbia,86,5.18,5.08,5.27,1.03,0.81,0.65,0.16,0.04,0.21,2.28
Bosnia and Herzegovina,87,5.16,5.06,5.26,0.93,0.64,0.71,0.10,0.00,0.30,2.48
Montenegro,88,5.16,5.06,5.27,1.08,0.74,0.64,0.15,0.13,0.17,2.26
Dominican Republic,89,5.16,5.04,5.27,1.03,0.99,0.58,0.52,0.12,0.21,1.70
Morocco,90,5.15,5.06,5.24,0.84,0.39,0.59,0.26,0.08,0.04,2.95
Hungary,91,5.15,5.06,5.23,1.24,0.93,0.68,0.20,0.04,0.10,1.95
Pakistan,92,5.13,5.04,5.23,0.69,0.26,0.40,0.15,0.14,0.31,3.18
Lebanon,93,5.13,5.03,5.23,1.12,0.64,0.76,0.26,0.03,0.24,2.07
Portugal,94,5.12,5.03,5.22,1.28,0.94,0.79,0.45,0.02,0.12,1.53
Macedonia,95,5.12,5.02,5.23,1.02,0.78,0.65,0.28,0.07,0.24,2.09
Vietnam,96,5.06,4.99,5.13,0.74,0.79,0.66,0.56,0.12,0.25,1.94
Somaliland,97,5.06,4.93,5.18,0.26,0.76,0.33,0.39,0.37,0.51,2.44
Tunisia,98,5.05,4.97,5.13,0.98,0.43,0.60,0.24,0.08,0.04,2.68
Greece,99,5.03,4.94,5.13,1.25,0.75,0.80,0.06,0.04,0.00,2.13
Tajikistan,100,5.00,4.92,5.07,0.49,0.76,0.53,0.43,0.14,0.26,2.39
Mongolia,101,4.91,4.84,4.98,0.99,1.09,0.55,0.36,0.03,0.35,1.54
Laos,102,4.88,4.74,5.01,0.68,0.55,0.38,0.52,0.22,0.43,2.09
Nigeria,103,4.88,4.75,5.00,0.75,0.64,0.05,0.28,0.03,0.23,2.89
Honduras,104,4.87,4.75,4.99,0.69,0.76,0.58,0.27,0.07,0.20,2.30
Iran,105,4.81,4.70,4.92,1.12,0.39,0.64,0.23,0.06,0.39,2.00
Zambia,106,4.80,4.65,4.95,0.61,0.64,0.24,0.43,0.11,0.18,2.59
Nepal,107,4.79,4.70,4.89,0.45,0.70,0.50,0.37,0.07,0.38,2.33
Palestinian Territories,108,4.75,4.65,4.86,0.67,0.72,0.57,0.18,0.11,0.11,2.40
Albania,109,4.66,4.55,4.76,0.96,0.50,0.73,0.32,0.05,0.17,1.93
Bangladesh,110,4.64,4.56,4.73,0.54,0.25,0.53,0.40,0.13,0.19,2.61
Sierra Leone,111,4.64,4.51,4.77,0.36,0.63,0.00,0.31,0.08,0.24,3.01
Iraq,112,4.58,4.45,4.70,1.07,0.59,0.51,0.25,0.14,0.20,1.82
Namibia,113,4.57,4.37,4.77,0.93,0.70,0.35,0.49,0.10,0.08,1.92
Cameroon,114,4.51,4.42,4.61,0.52,0.63,0.13,0.43,0.06,0.23,2.52
Ethiopia,115,4.51,4.43,4.59,0.29,0.38,0.35,0.37,0.17,0.30,2.66
South Africa,116,4.46,4.37,4.55,1.02,0.96,0.19,0.42,0.08,0.14,1.64
Sri Lanka,117,4.42,4.32,4.51,0.97,0.85,0.62,0.51,0.08,0.47,0.92
India,118,4.40,4.35,4.46,0.74,0.29,0.45,0.40,0.09,0.25,2.18
Myanmar,119,4.40,4.33,4.46,0.34,0.70,0.40,0.43,0.20,0.82,1.51
Egypt,120,4.36,4.26,4.47,0.95,0.50,0.52,0.19,0.10,0.13,1.97
Armenia,121,4.36,4.27,4.45,0.86,0.62,0.64,0.14,0.04,0.08,1.98
Kenya,122,4.36,4.26,4.45,0.52,0.76,0.30,0.41,0.07,0.41,1.88
Ukraine,123,4.32,4.24,4.41,0.87,1.01,0.59,0.13,0.02,0.20,1.50
Ghana,124,4.28,4.19,4.37,0.63,0.49,0.30,0.41,0.03,0.21,2.20
Democratic Republic of the Congo,125,4.27,4.19,4.35,0.06,0.81,0.19,0.16,0.06,0.25,2.75
Georgia,126,4.25,4.16,4.34,0.84,0.19,0.64,0.32,0.32,0.07,1.87
Republic of the Congo,127,4.24,4.11,4.37,0.77,0.48,0.28,0.38,0.10,0.12,2.11
Senegal,128,4.22,4.15,4.29,0.44,0.77,0.40,0.31,0.12,0.19,1.98
Bulgaria,129,4.22,4.10,4.33,1.11,0.93,0.68,0.21,0.01,0.13,1.15
Mauritania,130,4.20,4.13,4.28,0.61,0.84,0.29,0.13,0.18,0.23,1.93
Zimbabwe,131,4.19,4.10,4.29,0.35,0.71,0.16,0.25,0.09,0.19,2.44
Malawi,132,4.16,4.04,4.27,0.09,0.15,0.29,0.41,0.08,0.31,2.83
Sudan,133,4.14,3.93,4.35,0.63,0.82,0.30,0.00,0.10,0.18,2.11
Gabon,134,4.12,4.03,4.21,1.16,0.72,0.35,0.28,0.09,0.06,1.45
Mali,135,4.07,3.99,4.16,0.31,0.86,0.16,0.28,0.14,0.21,2.11
Haiti,136,4.03,3.89,4.16,0.34,0.30,0.27,0.12,0.14,0.48,2.37
Botswana,137,3.97,3.88,4.07,1.09,0.89,0.35,0.44,0.11,0.12,0.97
Comoros,138,3.96,3.86,4.05,0.28,0.60,0.30,0.15,0.18,0.18,2.26
Ivory Coast,139,3.92,3.83,4.01,0.56,0.58,0.04,0.41,0.16,0.20,1.97
Cambodia,140,3.91,3.80,4.02,0.56,0.54,0.42,0.59,0.08,0.40,1.32
Angola,141,3.87,3.75,3.98,0.85,0.66,0.05,0.01,0.08,0.12,2.09
Niger,142,3.86,3.78,3.93,0.13,0.61,0.26,0.38,0.17,0.21,2.09
South Sudan,143,3.83,3.60,4.07,0.39,0.19,0.16,0.20,0.13,0.26,2.51
Chad,144,3.76,3.67,3.85,0.42,0.63,0.04,0.13,0.05,0.19,2.31
Burkina Faso,145,3.74,3.65,3.83,0.32,0.63,0.21,0.33,0.13,0.24,1.87
Uganda,145,3.74,3.63,3.85,0.35,0.91,0.20,0.44,0.06,0.27,1.51
Yemen,147,3.72,3.62,3.83,0.58,0.47,0.31,0.23,0.06,0.10,1.97
Madagascar,148,3.70,3.62,3.77,0.28,0.46,0.37,0.14,0.08,0.22,2.15
Tanzania,149,3.67,3.56,3.77,0.47,0.78,0.36,0.32,0.05,0.31,1.38
Liberia,150,3.62,3.46,3.78,0.11,0.50,0.23,0.26,0.05,0.24,2.23
Guinea,151,3.61,3.53,3.68,0.22,0.31,0.19,0.31,0.12,0.30,2.16
Rwanda,152,3.52,3.44,3.59,0.33,0.62,0.32,0.54,0.51,0.24,0.97
Benin,153,3.48,3.40,3.56,0.39,0.10,0.21,0.40,0.07,0.20,2.11
Afghanistan,154,3.36,3.29,3.43,0.38,0.11,0.17,0.16,0.07,0.31,2.15
Togo,155,3.30,3.19,3.41,0.28,0.00,0.25,0.35,0.12,0.18,2.14
Syria,156,3.07,2.94,3.20,0.75,0.15,0.63,0.07,0.17,0.48,0.82
Burundi,157,2.91,2.73,3.08,0.07,0.23,0.16,0.04,0.09,0.20,2.10
