Country,Happiness_Rank,Happiness_Score,Whisker_high,Whisker_low,GDP_per_Capita,Social_support,Healthy_Life_Expectancy,Freedom,Generosity,Trust,Dystopia_Residual
Norway,1,7.54,7.59,7.48,1.62,1.53,0.80,0.64,0.36,0.32,2.28
Denmark,2,7.52,7.58,7.46,1.48,1.55,0.79,0.63,0.36,0.40,2.31
Iceland,3,7.50,7.62,7.39,1.48,1.61,0.83,0.63,0.48,0.15,2.32
Switzerland,4,7.49,7.56,7.43,1.56,1.52,0.86,0.62,0.29,0.37,2.28
Finland,5,7.47,7.53,7.41,1.44,1.54,0.81,0.62,0.25,0.38,2.43
Netherlands,6,7.38,7.43,7.33,1.50,1.43,0.81,0.59,0.47,0.28,2.29
Canada,7,7.32,7.38,7.25,1.48,1.48,0.83,0.61,0.44,0.29,2.19
New Zealand,8,7.31,7.38,7.25,1.41,1.55,0.82,0.61,0.50,0.38,2.05
Sweden,9,7.28,7.34,7.22,1.49,1.48,0.83,0.61,0.39,0.38,2.10
Australia,10,7.28,7.36,7.21,1.48,1.51,0.84,0.60,0.48,0.30,2.07
Israel,11,7.21,7.28,7.15,1.38,1.38,0.84,0.41,0.33,0.09,2.80
Costa Rica,12,7.08,7.17,6.99,1.11,1.42,0.76,0.58,0.21,0.10,2.90
Austria,13,7.01,7.07,6.94,1.49,1.46,0.82,0.57,0.32,0.22,2.14
United States,14,6.99,7.07,6.91,1.55,1.42,0.77,0.51,0.39,0.14,2.22
Ireland,15,6.98,7.04,6.91,1.54,1.56,0.81,0.57,0.43,0.30,1.77
Germany,16,6.95,7.01,6.90,1.49,1.47,0.80,0.56,0.34,0.28,2.02
Belgium,17,6.89,6.96,6.83,1.46,1.46,0.82,0.54,0.23,0.25,2.12
Luxembourg,18,6.86,6.92,6.80,1.74,1.46,0.85,0.60,0.28,0.32,1.62
United Kingdom,19,6.71,6.78,6.64,1.44,1.50,0.81,0.51,0.49,0.27,1.70
Chile,20,6.65,6.74,6.56,1.25,1.28,0.82,0.38,0.33,0.08,2.51
United Arab Emirates,21,6.65,6.72,6.57,1.63,1.27,0.73,0.61,0.36,0.32,1.73
Brazil,22,6.64,6.73,6.54,1.11,1.43,0.62,0.44,0.16,0.11,2.77
Czech Republic,23,6.61,6.68,6.53,1.35,1.43,0.75,0.49,0.09,0.04,2.45
Argentina,24,6.60,6.69,6.51,1.19,1.44,0.70,0.49,0.11,0.06,2.61
Mexico,25,6.58,6.67,6.48,1.15,1.21,0.71,0.41,0.12,0.13,2.84
Singapore,26,6.57,6.64,6.51,1.69,1.35,0.95,0.55,0.35,0.46,1.22
Malta,27,6.53,6.60,6.46,1.34,1.49,0.82,0.59,0.57,0.15,1.56
Uruguay,28,6.45,6.55,6.36,1.22,1.41,0.72,0.58,0.18,0.18,2.17
Guatemala,29,6.45,6.57,6.34,0.87,1.26,0.54,0.53,0.28,0.08,2.89
Panama,30,6.45,6.56,6.35,1.23,1.37,0.71,0.55,0.21,0.07,2.31
France,31,6.44,6.52,6.37,1.43,1.39,0.84,0.47,0.13,0.17,2.01
Thailand,32,6.42,6.51,6.34,1.13,1.43,0.65,0.58,0.57,0.03,2.04
Taiwan,33,6.42,6.49,6.35,1.43,1.38,0.79,0.36,0.26,0.06,2.13
Spain,34,6.40,6.47,6.33,1.38,1.53,0.89,0.41,0.19,0.07,1.93
Qatar,35,6.38,6.57,6.18,1.87,1.27,0.71,0.60,0.33,0.44,1.15
